modelname,exptype,action,time
./lqnmodel_29.lqn,noconc,end,1710396645.622045
./lqnmodel_29.lqn,wlessconc,start,1710396915.5660212
./lqnmodel_29.lqn,wlessend,end,1710397516.686199
./lqnmodel_15.lqn,defconc,start,1710398442.268214
./lqnmodel_15.lqn,defconc,end,1710399044.2868
./lqnmodel_15.lqn,noconc,start,1710399308.489072
./lqnmodel_15.lqn,noconc,end,1710399910.421248
./lqnmodel_15.lqn,wlessconc,start,1710400189.0979662
./lqnmodel_15.lqn,wlessend,end,1710400791.219039
./lqnmodel_14.lqn,defconc,start,1710401765.6845472
./lqnmodel_14.lqn,defconc,end,1710402367.06479
./lqnmodel_14.lqn,noconc,start,1710402634.055317
./lqnmodel_14.lqn,noconc,end,1710403236.020061
./lqnmodel_14.lqn,wlessconc,start,1710403529.957076
./lqnmodel_14.lqn,wlessend,end,1710404131.925588
./lqnmodel_28.lqn,defconc,start,1710405072.61103
./lqnmodel_28.lqn,defconc,end,1710405673.9744089
./lqnmodel_28.lqn,noconc,start,1710405955.165257
./lqnmodel_28.lqn,noconc,end,1710406557.394256
./lqnmodel_28.lqn,wlessconc,start,1710406836.203257
./lqnmodel_28.lqn,wlessend,end,1710407437.6258318
./lqnmodel_25.lqn,defconc,start,1710408409.903578
./lqnmodel_25.lqn,defconc,end,1710409012.009401
./lqnmodel_25.lqn,noconc,start,1710409277.9684522
./lqnmodel_25.lqn,noconc,end,1710409880.104802
./lqnmodel_25.lqn,wlessconc,start,1710410148.2165918
./lqnmodel_25.lqn,wlessend,end,1710410750.261759
./lqnmodel_19.lqn,defconc,start,1710411747.854761
./lqnmodel_19.lqn,defconc,end,1710412350.252497
./lqnmodel_19.lqn,noconc,start,1710412611.175254
./lqnmodel_19.lqn,noconc,end,1710413213.306116
./lqnmodel_19.lqn,wlessconc,start,1710413483.062867
./lqnmodel_19.lqn,wlessend,end,1710414085.300969
./lqnmodel_18.lqn,defconc,start,1710415087.337302
./lqnmodel_18.lqn,defconc,end,1710415689.461314
./lqnmodel_18.lqn,noconc,start,1710415964.358569
./lqnmodel_18.lqn,noconc,end,1710416566.165173
./lqnmodel_18.lqn,wlessconc,start,1710416837.036166
./lqnmodel_18.lqn,wlessend,end,1710417438.9568489
./lqnmodel_24.lqn,defconc,start,1710424263.006999
./lqnmodel_24.lqn,defconc,end,1710424865.313874
./lqnmodel_24.lqn,noconc,start,1710425130.0385642
./lqnmodel_24.lqn,noconc,end,1710425732.191384
./lqnmodel_24.lqn,wlessconc,start,1710426006.8431811
./lqnmodel_24.lqn,wlessend,end,1710426608.872416
./lqnmodel_26.lqn,defconc,start,1710427585.997538
./lqnmodel_26.lqn,defconc,end,1710428187.680563
./lqnmodel_26.lqn,noconc,start,1710428471.8958342
./lqnmodel_26.lqn,noconc,end,1710429073.537737
./lqnmodel_26.lqn,wlessconc,start,1710429342.425867
./lqnmodel_26.lqn,wlessend,end,1710429943.9996421
./lqnmodel_27.lqn,defconc,start,1710430956.241193
./lqnmodel_27.lqn,defconc,end,1710431557.492429
./lqnmodel_27.lqn,noconc,start,1710431840.3880289
./lqnmodel_27.lqn,noconc,end,1710432442.506607
./lqnmodel_27.lqn,wlessconc,start,1710432706.805768
./lqnmodel_27.lqn,wlessend,end,1710433308.073001
./lqnmodel_23.lqn,defconc,start,1710434308.179716
./lqnmodel_23.lqn,defconc,end,1710434910.464223
./lqnmodel_23.lqn,noconc,start,1710435183.772425
./lqnmodel_23.lqn,noconc,end,1710435785.879702
./lqnmodel_23.lqn,wlessconc,start,1710436046.173326
./lqnmodel_23.lqn,wlessend,end,1710436648.39326
./lqnmodel_22.lqn,defconc,start,1710437647.148596
./lqnmodel_22.lqn,defconc,end,1710438249.1896052
./lqnmodel_22.lqn,noconc,start,1710438525.4261298
./lqnmodel_22.lqn,noconc,end,1710439127.310679
./lqnmodel_22.lqn,wlessconc,start,1710439393.530543
./lqnmodel_22.lqn,wlessend,end,1710439995.481668
./lqnmodel_20.lqn,defconc,start,1710441002.100492
./lqnmodel_20.lqn,defconc,end,1710441604.188212
./lqnmodel_20.lqn,noconc,start,1710441867.243943
./lqnmodel_20.lqn,noconc,end,1710442469.548073
./lqnmodel_20.lqn,wlessconc,start,1710442738.638434
./lqnmodel_20.lqn,wlessend,end,1710443340.7768152
./lqnmodel_21.lqn,defconc,start,1710444308.846539
./lqnmodel_21.lqn,defconc,end,1710444911.1070201
./lqnmodel_21.lqn,noconc,start,1710445176.041166
./lqnmodel_21.lqn,noconc,end,1710445777.173513
./lqnmodel_21.lqn,wlessconc,start,1710446051.682902
./lqnmodel_21.lqn,wlessend,end,1710446653.601145
./lqnmodel_9.lqn,defconc,start,1710447633.663789
./lqnmodel_9.lqn,defconc,end,1710448234.651718
./lqnmodel_9.lqn,noconc,start,1710448501.311112
./lqnmodel_9.lqn,noconc,end,1710449103.258831
./lqnmodel_9.lqn,wlessconc,start,1710449367.341644
./lqnmodel_9.lqn,wlessend,end,1710449968.5833228
./lqnmodel_8.lqn,defconc,start,1710450942.082217
./lqnmodel_8.lqn,defconc,end,1710451543.835537
./lqnmodel_8.lqn,noconc,start,1710451808.0716128
./lqnmodel_8.lqn,noconc,end,1710452409.5698318
./lqnmodel_8.lqn,wlessconc,start,1710452668.259742
./lqnmodel_8.lqn,wlessend,end,1710453269.720734
